t,ID,TICKET,ROLLER_1,ROLLER_2,ROLLER_3,ROLLER_4,ROLLER_5,ROLLER_6,ROLLER_7,ROLLER_8,ROLLER_9,ROLLER_10,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5,PRIORITY_6,PRIORITY_7,PRIORITY_8,PRIORITY_9,PRIORITY_10
280,29,1,5,2,3,2,3,3,5,5,4,3,0,0,1,1,0,0,1,0,0,0
290,30,1,4,3,5,1,4,4,3,4,4,5,0,1,0,0,0,1,1,0,1,1
300,31,1,5,4,5,1,4,4,3,2,0,0,1,0,1,1,0,0,0,0,0,1
310,32,1,5,3,5,4,5,5,0,0,0,0,1,0,0,1,0,1,1,1,1,0
320,33,1,3,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
330,34,1,2,2,3,4,4,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1
340,35,0,4,4,5,2,1,5,1,4,3,5,0,0,0,1,0,0,1,1,0,0
350,36,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1
360,37,1,5,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
370,38,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
380,39,0,4,1,2,1,2,2,2,1,4,0,0,0,0,1,1,1,1,0,1,1
390,40,0,2,1,1,1,3,5,0,0,0,0,0,0,0,1,1,0,0,0,1,1
400,41,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
410,42,1,4,2,3,5,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1
420,43,0,4,1,5,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
430,44,0,3,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
440,45,0,2,4,5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
450,46,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
460,47,0,4,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
470,48,1,3,3,5,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
480,49,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
490,50,0,4,1,1,4,5,2,2,0,0,0,0,0,1,0,1,1,0,1,1,0
500,51,0,3,5,2,4,3,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1
510,52,1,3,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
520,53,1,1,2,1,5,2,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1
530,54,1,4,3,5,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
540,55,1,4,4,5,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
550,56,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
560,57,1,3,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
570,58,1,3,1,3,4,5,1,5,1,4,4,1,0,0,1,0,0,1,1,1,0
580,59,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
590,60,0,5,3,1,5,5,4,1,5,0,0,0,0,0,1,1,0,1,0,1,0
600,61,0,1,4,2,5,4,2,3,5,0,0,1,0,0,0,0,0,0,1,0,0
610,62,1,2,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
620,63,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
630,64,0,2,5,3,4,2,1,2,3,0,0,0,0,0,1,1,1,0,1,0,1
640,65,0,3,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
650,66,0,2,3,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
660,67,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
670,68,1,3,3,2,2,5,4,1,2,0,0,0,1,0,0,1,1,0,1,1,0
680,69,0,4,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
690,70,0,3,5,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
700,71,1,5,3,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
710,72,1,2,3,3,2,1,5,4,0,0,0,0,1,1,0,1,1,1,1,0,1
720,73,0,3,1,3,3,3,4,5,3,0,0,0,0,0,0,1,0,0,1,1,1
730,74,0,1,3,1,1,2,3,5,0,0,0,0,0,0,1,1,0,1,1,1,0
740,75,0,4,4,3,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1
750,76,1,5,1,4,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1
760,77,1,1,2,5,2,2,4,1,5,3,0,1,0,0,0,0,1,0,1,1,1
770,78,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1
780,79,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
790,80,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
800,81,1,1,5,1,2,2,4,3,2,3,0,1,0,1,1,1,0,0,1,0,1
810,82,1,5,4,3,5,1,3,5,0,0,0,1,1,0,1,0,1,1,0,0,1
820,83,1,1,2,2,3,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
830,84,1,4,5,4,2,5,2,2,4,0,0,1,0,0,1,0,1,1,0,1,0
840,85,1,1,4,1,3,5,4,3,0,0,0,1,1,1,0,1,0,1,1,0,0
850,86,0,2,4,1,2,2,2,1,4,4,5,1,1,0,1,0,1,0,1,1,0
860,87,0,2,5,5,1,4,1,5,5,5,0,0,1,0,0,0,1,1,1,0,0
870,88,0,4,4,2,2,1,3,4,1,0,0,1,1,0,1,1,1,1,1,0,1
880,89,0,2,2,1,1,4,2,4,1,0,0,1,1,0,1,1,1,1,1,1,1
890,90,1,4,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
900,91,1,1,1,3,3,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1
910,92,1,4,3,2,4,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
920,93,1,1,1,3,5,5,4,3,3,2,0,1,0,1,0,1,1,1,1,0,0
930,94,0,1,1,2,1,4,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0
940,95,1,4,3,4,4,3,5,1,3,1,1,1,1,1,0,0,1,1,0,0,1
950,96,0,3,2,1,1,5,5,5,0,0,0,0,0,0,0,1,1,1,1,1,0
960,97,1,3,1,1,2,1,2,5,1,3,4,1,1,0,0,1,1,1,0,1,0
970,98,0,2,1,1,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
980,99,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
990,100,1,4,2,3,4,2,3,2,2,1,0,0,0,0,1,0,1,0,0,0,0
1000,101,0,2,2,3,3,5,5,5,2,0,0,0,1,1,0,0,0,0,0,0,1
1010,102,0,2,3,4,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
1020,103,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
1030,104,1,1,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1040,105,1,2,5,2,4,5,4,5,2,4,0,0,0,1,0,0,1,0,0,1,1
1050,106,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1060,107,1,2,1,2,4,3,1,2,2,0,0,1,0,1,1,1,1,1,1,1,1
1070,108,1,1,3,5,4,3,3,1,5,2,3,1,1,0,1,1,0,0,0,0,0
1080,109,1,2,1,5,4,2,1,3,0,0,0,0,0,0,1,1,1,1,1,0,0
1080,110,0,3,1,3,4,5,5,4,1,1,0,0,1,0,1,1,1,1,1,0,1
1090,111,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
1090,112,0,5,5,2,2,4,3,5,2,3,0,0,1,0,0,0,0,0,0,0,0
1100,113,0,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1100,114,1,5,1,5,5,2,5,4,4,4,0,1,0,0,0,1,0,1,0,1,1
1110,115,1,4,5,4,3,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1110,116,0,4,4,1,4,4,3,3,5,4,2,1,1,0,0,1,0,1,0,0,0
1120,117,1,2,5,3,3,2,2,4,0,0,0,0,0,1,1,0,1,1,1,1,0
1120,118,1,5,4,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1130,119,0,4,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
1130,120,1,4,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1140,121,1,1,5,5,5,3,5,1,0,0,0,1,0,0,1,0,1,1,0,0,1
1140,122,1,4,1,3,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1150,123,1,5,4,5,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
1150,124,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
1160,125,0,1,5,1,5,4,5,4,3,0,0,1,0,1,0,1,1,0,0,1,1
1160,126,1,1,3,3,2,2,2,2,4,0,0,1,0,0,0,0,1,1,0,1,0
1170,127,1,4,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1170,128,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1180,129,1,4,3,5,4,5,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1180,130,1,5,1,1,4,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
1190,131,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
1190,132,1,2,1,4,2,4,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0
1200,133,1,5,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
1200,134,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1210,135,1,3,2,4,2,4,5,4,1,4,4,0,1,1,1,1,0,0,0,1,1
1210,136,1,1,3,2,2,1,3,4,0,0,0,0,0,1,1,1,0,0,1,1,0
1220,137,0,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
1220,138,1,2,4,4,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
1230,139,1,2,1,3,3,2,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
1230,140,0,2,3,4,4,2,3,5,3,5,2,0,0,1,1,1,1,0,0,1,1
1240,141,1,1,3,5,4,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1240,142,0,4,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1250,143,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
1250,144,1,2,5,2,1,5,5,3,1,0,0,0,0,0,1,0,1,1,1,0,1
1260,145,0,5,4,2,3,2,3,3,1,2,5,0,0,0,0,0,0,0,1,0,0
1260,146,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
1270,147,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
1270,148,1,1,3,2,5,5,3,2,2,3,2,1,0,0,0,0,0,1,0,0,1
1280,149,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
1280,150,1,5,1,4,1,1,4,5,4,5,0,0,0,1,1,1,1,0,1,1,1
1290,151,1,1,3,4,5,5,5,4,4,2,0,0,0,1,0,0,1,0,1,1,0
1290,152,1,3,4,4,1,4,2,0,0,0,0,0,0,1,0,1,1,0,0,1,0
1300,153,0,3,3,1,2,2,2,1,1,1,4,1,1,1,1,1,1,0,1,1,1
1300,154,0,4,4,5,3,4,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
1310,155,1,5,5,4,1,5,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
1310,156,0,2,3,5,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,0,0
1320,157,0,4,2,3,2,4,3,3,3,5,0,1,0,0,0,0,1,0,0,1,0
1320,158,1,4,5,5,2,5,5,5,4,1,0,1,1,1,0,0,0,0,0,0,1
1330,159,1,3,2,1,5,2,4,5,1,3,0,1,1,1,0,1,0,0,0,1,1
1330,160,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1
1340,161,0,5,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1340,162,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1350,163,0,3,2,4,4,4,4,5,0,0,0,0,0,0,1,0,1,0,0,1,1
1350,164,0,3,1,1,5,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
1360,165,0,1,1,4,1,1,4,0,0,0,0,0,1,1,0,1,1,1,0,0,1
1360,166,0,2,3,4,2,2,3,4,3,0,0,1,0,1,0,1,0,1,0,0,1
1370,167,1,1,3,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
1370,168,1,5,3,4,4,4,1,1,2,0,0,0,1,0,1,0,1,0,0,1,1
1380,169,1,2,4,4,3,3,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1380,170,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1390,171,1,4,1,4,4,2,5,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1390,172,1,2,5,1,5,1,1,4,1,1,1,1,0,0,0,0,1,0,0,0,0
1400,173,0,2,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
1400,174,0,5,1,2,3,2,3,2,2,0,0,1,1,0,0,0,0,0,1,0,1
1410,175,0,5,5,4,5,4,2,4,0,0,0,1,0,0,0,1,0,1,1,0,1
1410,176,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0
1420,177,1,1,1,3,5,4,2,5,5,3,2,1,1,0,1,0,0,0,0,0,1
1420,178,0,1,4,5,1,2,4,1,2,2,1,0,0,1,1,1,0,1,0,0,1
1430,179,0,4,1,5,2,3,4,3,4,5,0,1,1,0,0,1,1,1,0,0,1
1430,180,0,1,5,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
1440,181,1,1,1,2,2,1,1,4,4,5,4,1,1,0,0,0,0,1,1,0,1
1440,182,0,3,2,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
1450,183,1,5,4,3,4,4,2,1,4,5,4,1,0,0,1,1,0,1,1,0,0
1450,184,0,5,3,5,3,3,3,4,2,0,0,1,1,0,1,0,1,1,0,1,0
1460,185,0,4,5,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1
1460,186,1,4,5,5,4,2,5,5,0,0,0,0,0,1,0,1,0,0,1,1,0
1470,187,1,4,4,3,5,2,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1470,188,0,2,2,5,3,2,2,5,2,3,1,1,0,1,0,1,1,1,0,1,1
1480,189,1,3,2,4,2,5,4,3,3,3,5,0,0,0,0,0,0,0,1,0,0
1480,190,0,2,4,4,2,2,2,5,4,3,4,0,1,0,0,0,1,1,0,0,0
1490,191,0,2,3,3,1,2,5,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1490,192,0,2,3,2,3,4,3,2,1,3,0,0,1,1,1,0,1,1,1,1,0
1500,193,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
1500,194,0,5,5,1,5,5,4,5,4,0,0,1,1,1,1,1,1,1,0,1,0
1510,195,0,5,4,3,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1
1510,196,1,1,5,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
1520,197,1,2,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
1520,198,1,4,2,3,5,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
1530,199,1,4,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1530,200,1,3,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
1540,201,1,2,5,1,5,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
1540,202,1,2,2,3,5,4,1,3,0,0,0,1,1,1,0,0,1,1,1,1,0
1550,203,1,5,4,5,2,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
1550,204,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
1560,205,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1560,206,0,5,5,1,2,3,5,1,0,0,0,1,1,1,0,1,1,0,1,0,0
1570,207,0,4,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
1570,208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1580,209,0,5,5,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
1580,210,1,1,4,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
1590,211,1,2,4,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
1590,212,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
1600,213,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
1600,214,1,2,2,5,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
1610,215,1,4,1,5,5,4,3,1,3,1,4,0,1,0,1,1,0,1,0,1,0
1610,216,0,4,4,5,1,5,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
1620,217,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
1620,218,0,5,3,5,5,2,4,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1630,219,1,5,5,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
1630,220,0,4,5,4,2,1,2,4,0,0,0,0,1,1,0,0,0,1,1,1,1
1640,221,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
1640,222,1,5,1,1,1,5,5,5,0,0,0,1,1,0,1,0,0,0,0,1,0
1650,223,1,4,3,1,2,1,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1
1650,224,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
1660,225,1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
1660,226,1,5,5,5,5,1,1,4,0,0,0,1,0,1,0,0,1,0,0,1,1
1670,227,0,5,1,5,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1670,228,1,5,5,1,3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1680,229,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1680,230,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1690,231,0,5,2,4,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
1690,232,1,5,2,5,2,3,5,4,3,4,4,1,0,0,1,0,0,1,1,1,0
1700,233,1,3,5,3,1,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
1700,234,1,5,1,5,2,4,4,2,2,1,0,0,1,0,0,0,1,0,1,1,1
1710,235,0,4,1,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1710,236,1,3,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
1720,237,1,4,1,4,5,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
1720,238,1,5,3,5,4,2,5,4,0,0,0,1,1,0,0,0,1,1,0,1,1
1730,239,0,5,3,3,2,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1730,240,0,4,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
1740,241,1,1,1,3,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
1740,242,1,4,2,4,4,3,4,1,2,1,5,0,1,0,0,0,1,1,0,0,1
1750,243,0,3,4,3,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
1750,244,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1760,245,1,5,2,3,4,2,4,2,5,5,2,1,0,1,1,0,1,0,0,0,1
1760,246,1,1,5,2,4,5,3,2,2,4,0,0,1,0,0,1,1,0,0,0,0
1770,247,1,5,2,5,3,5,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
1770,248,1,2,5,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0
1780,249,1,4,3,3,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1780,250,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
1790,251,0,2,4,1,1,5,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1790,252,0,1,4,1,3,3,3,3,2,3,0,0,0,1,0,1,1,0,0,0,0
1800,253,1,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
1800,254,1,1,5,4,1,4,2,1,4,0,0,1,0,1,1,0,1,1,0,0,1
1810,255,1,4,1,3,5,5,2,3,3,2,0,0,1,1,1,1,0,1,0,1,0
1810,256,1,3,2,4,5,5,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
1820,257,1,5,2,3,3,2,5,1,3,0,0,0,1,0,1,0,0,1,0,0,0
1820,258,1,2,1,5,3,1,3,2,2,5,3,0,0,0,1,1,0,1,1,0,0
1830,259,1,5,5,1,3,3,1,2,3,0,0,1,1,0,1,0,1,0,1,1,0
1830,260,0,5,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
1840,261,0,3,1,2,3,3,4,0,0,0,0,1,0,1,1,0,1,0,1,0,0
1840,262,0,2,4,3,5,3,2,0,0,0,0,0,1,0,1,1,0,0,1,1,1
1850,263,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
1850,264,1,4,1,3,5,5,2,1,5,3,0,0,1,0,0,0,1,1,0,1,0
1860,265,1,1,4,2,3,1,4,3,0,0,0,1,1,0,0,1,0,0,0,1,0
1860,266,0,3,1,4,3,2,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1870,267,0,4,4,3,1,3,4,3,5,1,3,0,1,0,1,1,0,0,1,1,0
1870,268,1,2,5,5,1,5,2,3,2,4,0,0,1,0,1,1,1,1,0,1,1
1880,269,1,4,5,4,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1880,270,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
1890,271,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
1890,272,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
1900,273,0,2,2,1,5,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1900,274,1,5,2,3,5,2,1,3,1,3,3,0,0,0,1,0,0,0,1,0,1
1910,275,1,2,3,2,3,1,5,4,1,3,4,0,0,1,1,0,0,1,0,1,0
1910,276,0,1,5,4,2,1,1,4,1,5,4,1,0,1,1,0,1,0,0,0,0
1920,277,1,3,1,3,4,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1920,278,0,3,2,4,4,5,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1930,279,0,3,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
1930,280,1,4,2,3,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
1940,281,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
1940,282,1,3,1,5,3,4,1,4,5,4,0,0,0,0,0,1,0,1,1,0,1
1950,283,0,3,5,2,1,5,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0
1950,284,1,2,5,2,1,3,5,3,0,0,0,1,0,0,1,1,1,0,1,0,0
1960,285,1,1,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
1960,286,0,4,2,1,4,3,2,3,3,0,0,0,1,0,1,1,0,0,1,0,0
1970,287,0,5,2,5,2,3,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
1970,288,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
1980,289,0,1,3,4,4,3,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
1980,290,1,2,1,4,4,3,4,4,0,0,0,1,0,0,1,1,0,0,1,1,1
1990,291,0,5,1,2,3,5,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
1990,292,1,4,5,5,3,1,4,3,2,1,5,0,1,1,0,1,1,1,0,1,0
