t,ID,TICKET,ROLLER_1,ROLLER_2,ROLLER_3,ROLLER_4,ROLLER_5,ROLLER_6,ROLLER_7,ROLLER_8,ROLLER_9,ROLLER_10,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5,PRIORITY_6,PRIORITY_7,PRIORITY_8,PRIORITY_9,PRIORITY_10
650,65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
660,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,67,1,3,1,2,1,5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
680,68,0,1,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
690,69,1,4,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
700,70,1,3,3,1,1,2,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0
710,71,1,1,4,3,2,1,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0
720,72,1,4,1,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
730,73,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
740,74,0,2,1,4,4,4,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0
750,75,1,5,3,1,5,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
760,76,0,1,4,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
770,77,0,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
780,78,1,4,5,2,4,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
790,79,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
800,80,1,4,1,2,1,1,1,4,0,0,0,1,0,0,1,1,1,1,0,0,0
810,81,1,4,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
820,82,1,1,4,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
830,83,0,4,4,1,5,5,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0
840,84,0,2,1,5,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850,85,0,4,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
860,86,1,5,5,3,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
870,87,1,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
880,88,1,2,4,2,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
890,89,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
900,90,0,3,2,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
910,91,0,3,3,5,2,3,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0
920,92,1,1,1,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,93,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
940,94,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
950,95,1,2,3,5,4,5,3,0,0,0,0,0,1,0,1,1,1,0,0,0,0
960,96,0,2,4,4,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
970,97,1,3,5,5,3,4,3,1,0,0,0,0,1,1,0,1,1,1,0,0,0
980,98,0,5,5,4,2,4,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
990,99,0,5,5,2,3,2,4,5,0,0,0,1,1,1,0,1,0,0,0,0,0
1000,100,1,5,2,4,4,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1010,101,1,4,3,2,3,4,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1020,102,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
1030,103,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1040,104,0,5,5,3,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1050,105,0,2,4,5,5,5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
1060,106,0,3,5,4,4,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
1070,107,0,4,2,3,2,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0
1080,108,1,1,2,5,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
1090,109,1,1,1,1,1,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
1100,110,1,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1110,111,1,4,1,4,3,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
1120,112,1,4,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1130,113,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,114,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,115,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1160,116,0,1,1,5,3,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
1170,117,0,2,2,5,5,3,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0
1180,118,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1190,119,0,2,2,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
1200,120,0,4,4,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
1210,121,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1220,122,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
1230,123,1,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
1240,124,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1250,125,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1260,126,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
1270,127,1,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1280,128,1,4,2,3,5,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
1290,129,1,5,4,2,3,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1300,130,1,4,2,1,5,3,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1310,131,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
1320,132,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
1330,133,0,5,1,3,3,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1340,134,1,4,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1350,135,0,4,3,1,3,3,5,5,0,0,0,1,1,0,1,0,0,0,0,0,0
1360,136,1,4,5,5,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
1370,137,1,3,4,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1380,138,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1390,139,0,4,3,5,5,3,2,3,0,0,0,1,1,0,1,1,1,1,0,0,0
1400,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1410,141,0,1,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1420,142,0,5,5,3,2,2,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1430,143,1,5,2,1,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1440,144,0,1,3,5,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1450,145,1,2,1,4,5,4,5,1,0,0,0,1,0,0,0,1,1,1,0,0,0
1460,146,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
1470,147,1,5,3,3,5,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1480,148,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1490,149,1,5,2,2,3,2,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1500,150,1,4,5,2,3,1,4,4,0,0,0,1,1,1,0,0,1,0,0,0,0
1510,151,0,1,4,4,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
1520,152,1,4,4,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1530,153,1,2,1,2,2,2,5,1,0,0,0,1,0,1,0,1,1,0,0,0,0
1540,154,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
1550,155,1,2,5,4,5,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1560,156,1,5,2,5,4,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
1570,157,0,3,4,4,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
1580,158,1,1,3,3,1,5,5,3,0,0,0,1,0,1,0,0,1,0,0,0,0
1590,159,0,2,4,5,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
1600,160,0,5,3,5,4,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
1610,161,1,4,1,1,4,3,5,4,0,0,0,1,1,0,1,1,0,1,0,0,0
1620,162,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1630,163,0,5,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
1640,164,0,4,2,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1650,165,0,3,5,4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1660,166,0,3,1,3,1,4,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0
1670,167,0,1,2,1,5,1,3,4,0,0,0,1,1,0,1,1,1,0,0,0,0
1680,168,1,5,3,1,1,4,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
1690,169,0,5,4,2,1,5,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1700,170,0,4,3,3,3,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
1710,171,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
1720,172,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1730,173,0,3,4,3,4,1,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0
1740,174,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1750,175,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
1760,176,0,1,1,1,5,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1770,177,0,5,4,3,5,2,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1780,178,0,4,3,4,4,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1790,179,1,3,5,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1800,180,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1810,181,1,1,3,3,1,3,4,2,0,0,0,1,1,0,1,0,0,0,0,0,0
1820,182,1,1,3,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
1830,183,1,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1840,184,1,5,2,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1850,185,0,2,3,1,2,2,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0
1860,186,0,4,2,4,3,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1870,187,0,4,3,1,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1880,188,0,4,1,5,1,4,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1890,189,0,3,2,5,4,5,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
1900,190,1,3,2,4,2,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1910,191,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1920,192,0,5,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1930,193,1,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1940,194,0,4,5,5,1,2,5,4,0,0,0,1,0,0,1,0,1,1,0,0,0
1950,195,1,3,2,3,1,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1960,196,0,1,2,3,3,4,4,3,0,0,0,0,1,0,1,1,0,1,0,0,0
1970,197,0,5,1,3,5,2,5,0,0,0,0,1,1,1,0,0,1,0,0,0,0
1980,198,1,3,2,2,5,3,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1990,199,0,5,1,4,5,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2000,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010,201,0,3,3,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
2020,202,1,1,2,5,4,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2030,203,1,3,3,5,5,3,5,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2040,204,0,1,1,3,3,1,4,5,0,0,0,0,0,0,1,1,0,0,0,0,0
2050,205,1,5,5,2,3,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2060,206,0,1,1,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2070,207,1,4,1,2,2,5,3,2,0,0,0,1,0,1,1,1,1,1,0,0,0
2080,208,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2090,209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2100,210,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2110,211,1,3,1,1,4,2,4,4,0,0,0,1,1,1,0,0,1,0,0,0,0
2120,212,0,4,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2130,213,1,2,1,5,2,4,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
2140,214,1,5,1,5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2150,215,1,3,2,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2160,216,1,5,3,3,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2170,217,1,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2180,218,0,5,2,5,5,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2190,219,0,5,5,2,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2200,220,1,1,3,2,3,3,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0
2210,221,0,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
2220,222,1,4,2,4,5,4,1,5,0,0,0,0,1,0,0,1,0,1,0,0,0
2230,223,1,2,2,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2240,224,1,3,1,3,1,3,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0
2250,225,1,5,1,5,3,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2260,226,1,2,2,4,1,4,3,5,0,0,0,0,0,1,1,0,0,1,0,0,0
2270,227,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2280,228,1,1,5,2,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
2290,229,0,1,5,4,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
2300,230,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
2310,231,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2320,232,0,4,1,3,4,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2330,233,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2340,234,0,3,2,5,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2350,235,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2360,236,0,5,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2370,237,1,5,5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
2380,238,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2390,239,0,4,4,2,1,4,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2400,240,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
2410,241,1,4,1,2,1,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2420,242,1,1,3,5,3,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2430,243,1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
2440,244,1,4,3,5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2450,245,0,2,5,3,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
2460,246,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2470,247,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2480,248,0,4,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2490,249,0,1,3,4,5,4,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
2500,250,1,3,2,4,5,4,5,0,0,0,0,1,1,1,0,1,0,1,0,0,0
2510,251,0,3,1,4,4,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2520,252,1,5,2,5,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
2530,253,0,5,1,4,2,2,2,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2540,254,0,2,3,2,3,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2550,255,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
2560,256,1,2,2,2,5,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2570,257,1,3,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2580,258,0,3,4,5,1,5,1,4,0,0,0,1,1,0,0,1,1,1,0,0,0
2590,259,1,3,5,1,3,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2600,260,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2610,261,1,3,2,4,2,2,3,4,0,0,0,1,0,0,0,1,0,1,0,0,0
2620,262,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2630,263,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
2640,264,0,3,1,4,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
2650,265,0,2,2,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2660,266,1,5,2,1,4,1,1,2,0,0,0,1,1,1,1,1,0,1,0,0,0
2670,267,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2680,268,1,5,4,2,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2690,269,0,4,4,3,5,5,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
2700,270,0,5,1,1,5,3,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0
2710,271,1,3,3,5,2,4,5,4,0,0,0,0,1,0,1,0,0,1,0,0,0
2720,272,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2730,273,1,2,4,4,5,4,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0
2740,274,0,4,5,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2750,275,1,3,2,1,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
2760,276,1,1,5,4,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2770,277,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2780,278,0,2,1,3,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
2790,279,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2800,280,0,5,4,3,4,2,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2810,281,0,2,5,5,5,2,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2820,282,1,5,1,1,2,4,1,5,0,0,0,1,0,1,1,1,1,1,0,0,0
2830,283,0,3,1,3,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2840,284,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2850,285,0,1,2,5,5,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2860,286,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2870,287,1,3,1,5,3,5,3,4,0,0,0,0,1,1,0,1,0,0,0,0,0
2880,288,0,2,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2890,289,1,2,5,3,4,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2900,290,0,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2910,291,1,4,5,3,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2920,292,0,4,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
